keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,oyuncu_ana_ad,kurum_sorgusu,oyuncu_dogrulama,varyant_denetim,teknik_kadro,katman,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,mantik_denetim,faset_notu
ilkay gündoğan,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Sporcu Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,galatasaray,i̇lkay gündoğan,hayır,Oyuncu,Geçerli,,Genişletme,201000,LOW,0,0.13,0.1,0.16,evet,40500,40500,110000,90500,74000,90500,135000,90500,165000,301000,1000000,135000,135000,301000,90500,49500,40500,90500,135000,33100,33100,40500,49500,450000,165000,301000,110000,60500,33100,33100,49500,Geçerli,
ilkay gündoğan kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,galatasaray,i̇lkay gündoğan,hayır,Oyuncu,Geçerli,,Genişletme,260,LOW,3,,,,evet,40,110,70,70,70,40,90,70,70,480,1900,40,70,210,140,70,20,40,170,30,40,70,70,390,260,1000,90,90,70,40,70,Geçerli,
ilkay gündoğan hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,galatasaray,i̇lkay gündoğan,hayır,Oyuncu,Geçerli,,Genişletme,720,LOW,0,,,,evet,170,170,320,170,210,170,590,170,320,590,4400,480,480,1300,590,480,320,590,1600,880,1000,1000,1000,4400,1300,4400,1000,880,590,590,720,Geçerli,
ilkay gündoğan istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,galatasaray,i̇lkay gündoğan,hayır,Oyuncu,Geçerli,,Genişletme,5400,LOW,0,,,,evet,590,720,2400,2900,2400,3600,5400,3600,4400,6600,33100,1900,2400,5400,2400,1300,1000,1600,2900,1000,1300,1300,1600,8100,1000,2400,1900,1000,1000,1000,880,Geçerli,
ismail yüksek,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,fenerbahçe,i̇smail yüksek,hayır,Oyuncu,Geçerli,,Genişletme,110000,LOW,0,0.07,,,evet,165000,90500,246000,74000,90500,74000,110000,60500,110000,165000,165000,49500,90500,74000,40500,40500,49500,40500,74000,49500,74000,90500,201000,74000,165000,165000,49500,90500,90500,40500,165000,Geçerli,
ismail yüksek kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,fenerbahçe,i̇smail yüksek,hayır,Oyuncu,Geçerli,,Genişletme,210,LOW,0,,,,evet,1300,110,90,110,70,70,140,140,110,390,50,50,10,40,40,40,50,40,50,70,70,70,140,90,320,320,50,90,110,50,140,Geçerli,
ismail yüksek hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,fenerbahçe,i̇smail yüksek,hayır,Oyuncu,Geçerli,,Genişletme,320,LOW,0,,,,evet,210,170,110,110,590,70,70,140,320,880,880,110,110,170,40,70,320,110,260,170,390,170,480,110,1300,1000,50,70,140,40,140,Geçerli,
ismail yüksek istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,fenerbahçe,i̇smail yüksek,hayır,Oyuncu,Geçerli,,Genişletme,30,LOW,0,,,,evet,10,20,20,10,50,50,50,30,50,20,10,10,10,10,10,10,10,10,10,10,10,10,40,40,0,0,0,0,0,0,0,Geçerli,
irfan can kahveci,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Sporcu Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Jenerik,fenerbahçe,i̇rfan can kahveci,hayır,Oyuncu,Geçerli,,Genişletme,165000,LOW,0,0.21,0.17,1.04,evet,60500,201000,90500,90500,110000,90500,246000,368000,368000,246000,90500,90500,201000,110000,135000,110000,135000,90500,135000,246000,165000,201000,110000,135000,201000,165000,135000,165000,90500,90500,110000,Geçerli,
irfan can kahveci kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,fenerbahçe,i̇rfan can kahveci,hayır,Oyuncu,Geçerli,,Genişletme,90,LOW,1,,,,evet,50,110,70,70,140,40,50,90,90,210,90,90,90,70,70,110,260,110,170,140,170,590,170,210,390,170,170,320,140,140,170,Geçerli,
