keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,kurum_sorgusu,oyuncu_dogrulama,faset_notu,mantik_denetim,katman
süper lig,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,jen,11100000,LOW,5,0.41,0.13,0.47,evet,823000,450000,11100000,20400000,11100000,16600000,9140000,13600000,13600000,11100000,11100000,11100000,823000,1500000,13600000,13600000,13600000,13600000,13600000,13600000,9140000,9140000,11100000,11100000,823000,673000,20400000,16600000,13600000,16600000,20400000,hayır,,,Geçerli,Ana Liste
süper lig puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,pd,9140000,LOW,1,0.61,0.04,0.31,evet,550000,246000,13600000,20400000,11100000,11100000,7480000,11100000,9140000,7480000,7480000,6120000,450000,1500000,13600000,16600000,13600000,11100000,11100000,11100000,9140000,9140000,9140000,7480000,301000,246000,11100000,6120000,5000000,6120000,6120000,hayır,,,Geçerli,Ana Liste
süper lig fikstür,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,246000,LOW,4,0.16,0.02,0.27,evet,135000,14800,201000,368000,246000,301000,165000,246000,246000,246000,246000,246000,110000,22200,246000,301000,246000,246000,246000,246000,201000,201000,246000,301000,110000,12100,368000,301000,246000,301000,450000,hayır,,,Geçerli,Ana Liste
süper lig maç sonuçları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,201000,LOW,2,0.18,0.04,0.31,evet,1900,1300,201000,301000,201000,301000,165000,246000,301000,246000,246000,246000,2900,18100,301000,301000,301000,301000,301000,301000,246000,246000,301000,301000,3600,3600,450000,368000,368000,450000,550000,hayır,,,Geçerli,Ana Liste
süper lig canlı izle,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,320,LOW,10,0.12,0.08,0.3,evet,40,30,260,480,260,480,140,390,320,320,320,590,30,50,260,260,390,590,480,480,390,480,880,720,50,10,1600,590,720,720,720,hayır,,,Geçerli,Ana Liste
süper lig hangi kanalda,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,kan,590,MEDIUM,58,0.45,0.11,0.47,evet,480,110,260,480,320,390,320,590,480,390,590,1900,720,110,260,260,260,590,320,480,390,480,1300,3600,8100,6600,8100,880,480,480,480,hayır,,,Geçerli,Ana Liste
trendyol süper lig,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,jen,301000,LOW,2,0.28,0.09,0.4,evet,49500,18100,301000,450000,301000,368000,201000,368000,301000,246000,301000,301000,33100,40500,368000,368000,368000,301000,301000,301000,246000,246000,301000,301000,33100,18100,368000,301000,246000,301000,450000,hayır,,,Geçerli,Ana Liste
trendyol süper lig puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,pd,110000,LOW,1,0.26,0.04,0.3,evet,14800,8100,165000,301000,135000,165000,110000,135000,90500,60500,49500,49500,9900,18100,110000,135000,135000,135000,90500,135000,90500,60500,60500,60500,6600,8100,301000,135000,110000,135000,110000,hayır,,,Geçerli,Ana Liste
trendyol süper lig fikstür,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,4400,LOW,2,0.09,0.03,0.26,evet,4400,390,4400,8100,5400,5400,3600,5400,5400,4400,4400,4400,2400,590,4400,6600,6600,5400,5400,5400,4400,4400,5400,6600,2900,260,8100,6600,6600,8100,9900,hayır,,,Geçerli,Ana Liste
trendyol süper lig maç sonuçları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,mac,1900,LOW,1,,,,evet,30,20,2400,3600,1900,2900,1600,2400,2400,1900,1900,2400,70,260,2900,2900,2900,2400,2400,2400,1900,1600,1900,2900,30,50,5400,3600,2900,2900,3600,hayır,,,Geçerli,Ana Liste
