keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,intent_kaynak,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,oyuncu_ana_ad,milli_kaynak,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
halis karataş,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,halis karataş,,33100,LOW,0,,,,evet,40500,201000,14800,22200,12100,14800,12100,14800,12100,8100,9900,12100,22200,33100,33100,18100,12100,12100,14800,8100,8100,6600,5400,8100,9900,18100,9900,6600,8100,8100,8100
halis karataş kimdir,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,halis karataş,,260,LOW,1,,,,evet,480,1300,110,170,90,110,90,110,70,70,90,70,170,140,140,110,90,70,110,90,90,50,40,40,70,90,50,40,70,50,50
halis karataş hangi takımda,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,halis karataş,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halis karataş istatistik,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,halis karataş,,10,LOW,3,,,,evet,20,50,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mehmet kaya,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,mehmet kaya,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mehmet kaya kimdir,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,mehmet kaya,,720,LOW,0,,,,evet,480,480,2900,720,480,390,390,720,590,1300,590,260,210,320,320,110,140,320,260,260,320,720,210,260,210,320,480,480,320,320,320
mehmet kaya hangi takımda,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,mehmet kaya,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mehmet kaya istatistik,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,mehmet kaya,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
süleyman akdi,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,süleyman akdi,,70,LOW,0,,,,evet,90,170,50,70,40,30,40,70,30,40,30,170,140,170,50,40,30,30,40,40,70,30,70,50,70,70,70,40,50,40,40
süleyman akdi kimdir,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,süleyman akdi,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
