keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,intent_kaynak,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,katman,competition,competition_index,cpc,low_bid,high_bid,kurum_sorgusu,oyuncu_dogrulama,faset_notu,mantik_denetim,guncellik,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
galatasaray,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,1,0.28,0.05,0.31,hayır,,,Geçerli,,30400000,LOW,1,0.28,0.05,0.31,evet,9140000,3350000,20400000,37200000,37200000,37200000,37200000,37200000,37200000,24900000,30400000,24900000,13600000,6120000,30400000,30400000,30400000,45500000,37200000,37200000,30400000,30400000,37200000,30400000,11100000,4090000,37200000,20400000,20400000,37200000,37200000
galatasaray maçları,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Maç Sorgusu,Ana Liste,LOW,1,0.33,0.05,0.37,hayır,,,Geçerli,,9140000,LOW,1,0.33,0.05,0.37,evet,1500000,301000,11100000,16600000,11100000,13600000,9140000,9140000,11100000,7480000,9140000,6120000,1830000,450000,9140000,9140000,9140000,13600000,9140000,11100000,9140000,9140000,7480000,7480000,1500000,246000,9140000,4090000,4090000,7480000,6120000
galatasaray fikstür,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Fikstür,Ana Liste,LOW,1,0.25,0.05,0.34,hayır,,,Geçerli,,246000,LOW,1,0.25,0.05,0.34,evet,60500,4400,135000,368000,368000,368000,246000,301000,301000,301000,246000,201000,74000,8100,201000,301000,301000,368000,368000,301000,301000,301000,301000,201000,60500,5400,165000,301000,246000,368000,301000
galatasaray puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,LOW,0,0.15,0.03,0.26,hayır,,,Geçerli,,4090000,LOW,0,0.15,0.03,0.26,evet,450000,135000,6120000,11100000,4090000,5000000,5000000,5000000,5000000,3350000,2740000,2740000,450000,301000,5000000,5000000,5000000,6120000,6120000,6120000,5000000,4090000,4090000,2740000,246000,90500,1830000,823000,673000,823000,673000
galatasaray kadrosu,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Kadro,Ana Liste,LOW,1,0.33,0.16,0.32,hayır,,,Geçerli,,90500,LOW,1,0.33,0.16,0.32,evet,60500,27100,74000,90500,90500,110000,110000,74000,74000,49500,110000,110000,74000,49500,60500,60500,49500,165000,74000,90500,74000,74000,165000,110000,74000,49500,74000,49500,60500,110000,110000
galatasaray canlı izle,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,LOW,3,0.22,0.08,0.32,hayır,,,Geçerli,,9900,LOW,3,0.22,0.08,0.32,evet,2400,90,14800,18100,12100,12100,9900,9900,6600,8100,9900,8100,8100,260,14800,4400,5400,12100,12100,8100,8100,9900,12100,12100,9900,260,22200,5400,5400,14800,9900
galatasaray transfer,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Transfer,Ana Liste,LOW,1,0.3,0.06,0.32,hayır,,,Geçerli,,450000,LOW,1,0.3,0.06,0.32,evet,823000,368000,301000,60500,60500,368000,1220000,301000,110000,90500,823000,1000000,1000000,1000000,246000,165000,135000,1000000,1500000,450000,135000,74000,1000000,823000,823000,550000,165000,90500,74000,450000,550000
fenerbahçe,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Jenerik,Ana Liste,LOW,1,0.31,0.13,0.72,hayır,,,Geçerli,,24900000,LOW,1,0.31,0.13,0.72,evet,11100000,3350000,11100000,24900000,30400000,45500000,37200000,30400000,37200000,24900000,30400000,37200000,13600000,6120000,20400000,30400000,30400000,37200000,37200000,30400000,30400000,20400000,20400000,30400000,16600000,6120000,30400000,37200000,30400000,30400000,30400000
fenerbahçe maçları,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Maç Sorgusu,Ana Liste,LOW,1,0.28,0.06,0.37,hayır,,,Geçerli,,7480000,LOW,1,0.28,0.06,0.37,evet,3350000,301000,5000000,11100000,9140000,13600000,9140000,7480000,9140000,6120000,6120000,7480000,1830000,301000,4090000,7480000,9140000,9140000,7480000,6120000,7480000,6120000,5000000,7480000,2240000,301000,6120000,6120000,6120000,5000000,5000000
fenerbahçe fikstür,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Fikstür,Ana Liste,LOW,1,0.36,0.04,0.37,hayır,,,Geçerli,,165000,LOW,1,0.36,0.04,0.37,evet,90500,5400,49500,201000,201000,301000,201000,201000,201000,165000,201000,165000,60500,5400,74000,201000,246000,246000,246000,165000,201000,165000,165000,165000,74000,6600,110000,246000,246000,246000,246000
fenerbahçe puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,Türkçe,Body,Puan Durumu,Ana Liste,LOW,0,0.64,0.04,0.32,hayır,,,Geçerli,,4090000,LOW,0,0.64,0.04,0.32,evet,550000,135000,5000000,7480000,5000000,5000000,5000000,5000000,5000000,2740000,2740000,1830000,301000,201000,3350000,5000000,4090000,4090000,5000000,4090000,4090000,3350000,2740000,2740000,246000,74000,1220000,823000,823000,823000,1000000
fenerbahçe kadrosu,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,Türkçe,Head,Kadro,Ana Liste,LOW,1,0.35,0.14,0.36,hayır,,,Geçerli,,74000,LOW,1,0.35,0.14,0.36,evet,90500,33100,33100,74000,49500,110000,110000,74000,60500,40500,110000,110000,60500,27100,40500,49500,49500,110000,90500,49500,60500,49500,110000,90500,90500,60500,74000,74000,60500,74000,110000
