elenen_keyword,korunan_keyword
atalanta,atalanta
getafe,getafe
hapoel tel aviv,hapoel tel aviv
maccabi tel aviv,maccabi tel aviv
panathinaikos,panathinaikos
fc atert bissen,fc atert bissen
fc drita,fc drita
fc flora,fc flora
fc maxline vitebsk,fc maxline vitebsk
fc petrocub hîncești,fc petrocub hîncești
fk borac banja luka,fk borac banja luka
fk sutjeska nikšić,fk sutjeska nikšić
fk vardar,fk vardar
floriana,floriana
győri eto,győri eto
górnik zabrze,górnik zabrze
heart of midlothian,heart of midlothian
inter club d'escaldes,inter club d'escaldes
klaksvíkar ítróttarfelag,klaksvíkar ítróttarfelag
knattspyrnufélagið víkingur,knattspyrnufélagið víkingur
kuopion palloseura,kuopion palloseura
larne,larne
lincoln red imps,lincoln red imps
riga,riga
shamrock rovers,shamrock rovers
the new saints,the new saints
tre fiori,tre fiori
ac omonia,ac omonia
aarhus gymnastikforening,aarhus gymnastikforening
brighton labeau,brighton labeau
cs universitatea craiova,cs universitatea craiova
craiova,craiova
egnatia arena,egnatia arena
fc ararat-armenia,fc ararat-armenia
fc dynamo kyiv,fc dynamo kyiv
fc hradec králové,fc hradec králové
fc iberia 1999,fc iberia 1999
fc kairat,fc kairat
fc midtjylland,fc midtjylland
fc sheriff tiraspol,fc sheriff tiraspol
fc st. gallen,fc st. gallen
fc thun,fc thun
fc twente,fc twente
fc universitatea cluj,fc universitatea cluj
fk kauno žalgiris,fk kauno žalgiris
fk vojvodina,fk vojvodina
górnik zabrze,górnik zabrze
hnk hajduk split,hnk hajduk split
hammarby fotboll,hammarby fotboll
heart of midlothian,heart of midlothian
istanbul,istanbul
kf egnatia rrogozhinë,kf egnatia rrogozhinë
klaksvíkar ítróttarfelag,klaksvíkar ítróttarfelag
knattspyrnufélagið víkingur,knattspyrnufélagið víkingur
kuopion palloseura,kuopion palloseura
larne,larne
lech poznań,lech poznań
lincoln red imps,lincoln red imps
maccabi tel aviv,maccabi tel aviv
mjällby aif,mjällby aif
mšk žilina,mšk žilina
nk aluminij,nk aluminij
paok,paok
pafos,pafos
qarabağ,qarabağ
rangers,rangers
red star belgrade,red star belgrade
reykjavík,reykjavík
rrogozhinë,rrogozhinë
shamrock rovers,shamrock rovers
sofia,sofia
tbilisi,tbilisi
trabzonspor,trabzonspor
tromsø il,tromsø il
utc+00 00,utc+00 00
utc+01 00,utc+01 00
utc+03 00,utc+03 00
utc+04 00,utc+04 00
