keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,kurum_sorgusu
galatasaray maçı,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_mac,9140000,LOW,1,0.33,0.05,0.37,evet,,301000,11100000,16600000,11100000,13600000,9140000,9140000,11100000,7480000,9140000,6120000,1830000,hayır
galatasaray maçları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_maclar,9140000,LOW,1,0.33,0.05,0.37,evet,,301000,11100000,16600000,11100000,13600000,9140000,9140000,11100000,7480000,9140000,6120000,1830000,hayır
galatasaray maçı ne zaman,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Body,tk_nezaman,550000,LOW,2,0.32,0.04,0.3,evet,,49500,550000,673000,823000,823000,673000,673000,673000,550000,550000,450000,165000,hayır
galatasaray maçı hangi kanalda,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Body,tk_kanal,450000,LOW,3,0.25,0.07,0.3,evet,,6600,201000,368000,673000,673000,1000000,450000,550000,450000,823000,246000,301000,hayır
galatasaray canlı izle,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,9900,LOW,3,0.22,0.08,0.32,evet,,90,14800,18100,12100,12100,9900,9900,6600,8100,9900,8100,8100,hayır
galatasaray fikstür,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Head,tk_fikstur,246000,LOW,1,0.25,0.05,0.34,evet,,4400,135000,368000,368000,368000,246000,301000,301000,301000,246000,201000,74000,hayır
galatasaray puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,İngilizce,Body,tk_pd,4090000,LOW,0,0.15,0.03,0.26,evet,,135000,6120000,11100000,4090000,5000000,5000000,5000000,5000000,3350000,2740000,2740000,450000,hayır
galatasaray kadro,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,İngilizce,Head,tk_kadro,90500,LOW,1,0.33,0.16,0.32,evet,,27100,74000,90500,90500,110000,110000,74000,74000,49500,110000,110000,74000,hayır
galatasaray oyuncuları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Head,tk_oyuncu,823000,LOW,0,0.44,0.05,0.33,evet,,110000,550000,673000,673000,1220000,1220000,823000,823000,550000,1000000,1000000,823000,hayır
galatasaray transfer,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Takım,Jenerik,İngilizce,Head,tk_transfer,450000,LOW,1,0.3,0.06,0.32,evet,,368000,301000,60500,60500,368000,1220000,301000,110000,90500,823000,1000000,1000000,hayır
galatasaray,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Bilgi,Takım,Jenerik,İngilizce,Head,tk_jen,30400000,LOW,1,0.28,0.05,0.31,evet,,3350000,20400000,37200000,37200000,37200000,37200000,37200000,37200000,24900000,30400000,24900000,13600000,hayır
fenerbahçe maçı,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_mac,7480000,LOW,1,0.28,0.06,0.37,evet,,301000,5000000,11100000,9140000,13600000,9140000,7480000,9140000,6120000,6120000,7480000,1830000,hayır
fenerbahçe maçları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_maclar,7480000,LOW,1,0.28,0.06,0.37,evet,,301000,5000000,11100000,9140000,13600000,9140000,7480000,9140000,6120000,6120000,7480000,1830000,hayır
fenerbahçe maçı ne zaman,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Body,tk_nezaman,301000,LOW,1,0.25,0.04,0.3,evet,,27100,165000,301000,301000,550000,450000,368000,368000,301000,246000,301000,74000,hayır
fenerbahçe maçı hangi kanalda,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Body,tk_kanal,450000,LOW,2,0.24,0.07,0.34,evet,,2400,40500,165000,165000,368000,450000,301000,823000,368000,301000,1220000,301000,hayır
fenerbahçe canlı izle,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,12100,LOW,4,0.24,0.12,0.34,evet,,720,2400,8100,8100,18100,18100,9900,9900,5400,18100,18100,8100,hayır
fenerbahçe fikstür,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Head,tk_fikstur,165000,LOW,1,0.36,0.04,0.37,evet,,5400,49500,201000,201000,301000,201000,201000,201000,165000,201000,165000,60500,hayır
fenerbahçe puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_pd,4090000,LOW,0,0.64,0.04,0.32,evet,,135000,5000000,7480000,5000000,5000000,5000000,5000000,5000000,2740000,2740000,1830000,301000,hayır
fenerbahçe kadro,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Head,tk_kadro,74000,LOW,1,0.35,0.14,0.36,evet,,33100,33100,74000,49500,110000,110000,74000,60500,40500,110000,110000,60500,hayır
fenerbahçe oyuncuları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Head,tk_oyuncu,550000,LOW,0,0.08,0.1,0.57,evet,,135000,246000,450000,450000,1000000,1000000,673000,550000,450000,823000,1000000,550000,hayır
fenerbahçe transfer,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Takım,Jenerik,Türkçe,Head,tk_transfer,550000,LOW,1,0.36,0.11,0.42,evet,,450000,201000,74000,60500,550000,1000000,301000,201000,135000,1000000,1500000,1830000,hayır
fenerbahçe,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Bilgi,Takım,Jenerik,Türkçe,Head,tk_jen,24900000,LOW,1,0.31,0.13,0.72,evet,,3350000,11100000,24900000,30400000,45500000,37200000,30400000,37200000,24900000,30400000,37200000,13600000,hayır
beşiktaş maçı,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_mac,1500000,LOW,1,0.31,0.07,0.45,evet,,135000,1000000,1830000,1500000,1830000,1000000,1500000,1220000,1500000,1500000,2240000,1000000,hayır
beşiktaş maçları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_maclar,1500000,LOW,1,0.31,0.07,0.45,evet,,135000,1000000,1830000,1500000,1830000,1000000,1500000,1220000,1500000,1500000,2240000,1000000,hayır
beşiktaş maçı ne zaman,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Body,tk_nezaman,90500,LOW,3,0.22,0.03,0.32,evet,,12100,60500,110000,90500,110000,90500,90500,74000,74000,90500,135000,74000,hayır
beşiktaş maçı hangi kanalda,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Body,tk_kanal,246000,LOW,4,0.3,0.1,0.4,evet,,1900,49500,60500,110000,60500,60500,40500,40500,60500,60500,1830000,673000,hayır
beşiktaş canlı izle,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,2900,LOW,3,0.22,0.07,0.36,evet,,40,880,1600,2900,3600,1600,1300,1900,2400,1900,8100,2900,hayır
beşiktaş fikstür,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Head,tk_fikstur,33100,LOW,1,0.24,0.04,0.3,evet,,1600,9900,33100,40500,49500,27100,33100,27100,40500,49500,49500,27100,hayır
beşiktaş puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_pd,1500000,LOW,0,0.51,0.04,0.32,evet,,60500,1500000,2240000,1830000,2240000,1220000,1830000,1500000,1500000,1500000,1000000,301000,hayır
beşiktaş kadro,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Head,tk_kadro,33100,LOW,0,0.24,0.09,0.36,evet,,14800,18100,27100,33100,40500,33100,27100,22200,27100,40500,40500,40500,hayır
beşiktaş oyuncuları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Head,tk_oyuncu,301000,LOW,0,0.38,0.06,0.84,evet,,60500,135000,201000,246000,450000,368000,301000,246000,246000,450000,450000,550000,hayır
beşiktaş transfer,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Takım,Jenerik,Türkçe,Head,tk_transfer,301000,LOW,0,0.4,0.19,0.59,evet,,246000,110000,60500,49500,368000,673000,135000,49500,40500,673000,1000000,1000000,hayır
beşiktaş,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Bilgi,Takım,Jenerik,Türkçe,Head,tk_jen,11100000,LOW,1,0.1,0.03,0.29,evet,,2240000,9140000,11100000,11100000,13600000,9140000,11100000,11100000,11100000,11100000,16600000,11100000,hayır
trabzonspor maçı,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_mac,550000,LOW,1,0.3,0.05,0.32,evet,,33100,823000,1500000,673000,673000,450000,1000000,550000,368000,368000,450000,74000,hayır
trabzonspor maçları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_maclar,550000,LOW,1,0.3,0.05,0.32,evet,,33100,823000,1500000,673000,673000,450000,1000000,550000,368000,368000,450000,74000,hayır
trabzonspor maçı ne zaman,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Body,tk_nezaman,14800,LOW,1,,0.05,0.32,evet,,1600,22200,27100,18100,14800,14800,22200,14800,12100,9900,12100,3600,hayır
trabzonspor maçı hangi kanalda,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Body,tk_kanal,14800,LOW,4,0.3,0.08,0.36,evet,,170,33100,40500,14800,14800,18100,27100,4400,3600,3600,6600,9900,hayır
trabzonspor canlı izle,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,1300,LOW,6,0.28,0.08,0.32,evet,,140,1600,2900,1300,2400,1600,1900,880,880,880,1000,390,hayır
trabzonspor fikstür,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Head,tk_fikstur,12100,LOW,1,0.18,0.05,0.22,evet,,480,8100,40500,18100,12100,9900,18100,12100,12100,9900,12100,5400,hayır
trabzonspor puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,İngilizce,Body,tk_pd,1000000,LOW,0,,0.04,0.25,evet,,27100,1220000,2740000,1220000,1000000,673000,1830000,1000000,823000,550000,550000,40500,hayır
trabzonspor kadro,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,İngilizce,Head,tk_kadro,9900,LOW,0,,,,evet,,6600,9900,12100,6600,14800,12100,12100,9900,6600,14800,8100,5400,hayır
