keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,intent_kaynak,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,katman,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,kurum_sorgusu,oyuncu_dogrulama,faset_notu,mantik_denetim,guncellik
hangi maç hangi kanalda,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Canlı İzle,İzleme,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,12100,LOW,2,0.39,0.13,0.49,evet,9900,9900,9900,12100,12100,9900,12100,12100,12100,14800,14800,18100,9900,9900,9900,12100,12100,12100,14800,12100,14800,18100,14800,14800,8100,8100,9900,12100,9900,9900,12100,hayır,,Tipoloji: Kanal/Yayın ile Canlı İzle aynı izleme sayfasına iner,Geçerli,
maç hangi kanalda,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Canlı İzle,İzleme,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,74000,LOW,3,0.28,0.11,0.36,evet,60500,60500,33100,74000,135000,33100,74000,74000,74000,74000,90500,40500,14800,14800,27100,40500,40500,49500,33100,18100,60500,74000,74000,60500,90500,74000,40500,27100,18100,14800,9900,hayır,,Tipoloji: Kanal/Yayın ile Canlı İzle aynı izleme sayfasına iner,Geçerli,
bugün hangi maçlar var,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Navigasyonel,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,201000,LOW,4,0.13,0.02,0.16,evet,135000,165000,165000,201000,201000,201000,165000,201000,246000,246000,201000,165000,74000,90500,165000,165000,135000,165000,135000,165000,201000,201000,165000,165000,135000,165000,110000,74000,90500,90500,110000,hayır,,,Geçerli,
bugün maç var mı,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Maç & Takvim,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,90500,LOW,4,0.14,0.02,0.24,evet,90500,74000,90500,110000,110000,90500,90500,110000,110000,110000,90500,74000,40500,40500,74000,74000,60500,60500,74000,90500,110000,110000,90500,90500,90500,90500,74000,49500,49500,60500,60500,hayır,,,Geçerli,
bugün kimin maçı var,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Maç & Takvim,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,368000,LOW,4,0.14,0.03,0.17,evet,301000,301000,368000,450000,450000,368000,368000,368000,301000,368000,368000,301000,90500,90500,246000,246000,246000,246000,246000,246000,301000,301000,301000,246000,165000,201000,246000,165000,165000,165000,165000,hayır,,,Geçerli,
günün maçları,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Maç & Takvim,İzleme,Jenerik,Jenerik,Türkçe,Head,yayin_hub,Ana Liste,135000,LOW,4,0.09,0.02,0.1,evet,110000,110000,110000,135000,135000,135000,135000,135000,135000,165000,165000,165000,60500,60500,110000,110000,110000,135000,110000,110000,135000,135000,110000,110000,60500,110000,90500,90500,74000,90500,110000,hayır,,,Geçerli,
bugünkü maçlar,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Maç & Takvim,İzleme,Jenerik,Jenerik,Türkçe,Head,yayin_hub,Ana Liste,368000,LOW,4,0.11,0.02,0.15,evet,301000,301000,301000,368000,368000,301000,301000,368000,368000,450000,450000,368000,165000,165000,301000,368000,301000,368000,301000,368000,368000,368000,301000,301000,246000,368000,301000,246000,246000,246000,246000,hayır,,,Geçerli,
maç programı bugün,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Maç & Takvim,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,1600,LOW,4,0.2,0.01,0.07,evet,1600,2400,1300,1300,1600,1900,1600,1900,1900,1900,1600,1600,720,720,1000,1300,1900,1900,1600,1300,1900,2400,1900,1900,1300,5400,1900,1300,880,880,1000,hayır,,,Geçerli,
tv'de bugün,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,İzleme,Jenerik,Jenerik,Türkçe,Head,yayin_hub,Ana Liste,90500,LOW,3,0.32,0.25,0.51,evet,74000,74000,74000,74000,90500,90500,135000,110000,110000,135000,135000,60500,74000,90500,74000,90500,90500,90500,135000,135000,135000,165000,165000,90500,110000,110000,90500,110000,110000,135000,165000,hayır,,,Geçerli,
tvde bugün maçlar,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,
spor yayın akışı,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,3600,LOW,2,0.43,0.2,0.37,evet,2900,3600,3600,3600,3600,3600,4400,3600,3600,3600,4400,4400,3600,3600,3600,4400,4400,4400,4400,3600,4400,5400,4400,4400,2900,3600,4400,3600,3600,3600,3600,hayır,,,Geçerli,
bugün hangi maçlar var saat kaçta,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Maç & Takvim,İzleme,Jenerik,Jenerik,Türkçe,Long-tail,yayin_hub,Ana Liste,260,LOW,3,0.18,0.03,0.12,evet,320,320,170,320,210,260,210,320,320,390,170,170,50,50,140,110,70,210,170,260,210,260,210,210,170,210,110,40,50,90,70,hayır,,,Geçerli,
hafta sonu maç programı,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Maç & Takvim,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,140,LOW,16,0.7,,,evet,20,30,110,320,260,170,110,170,110,170,110,70,10,10,70,70,70,90,170,170,170,260,210,110,10,10,140,110,170,140,320,hayır,,,Geçerli,
haftanın maçları,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Maç & Takvim,İzleme,Jenerik,Jenerik,Türkçe,Head,yayin_hub,Ana Liste,27100,LOW,5,0.1,0.03,0.17,evet,590,480,22200,33100,27100,33100,22200,33100,33100,33100,33100,33100,1300,1900,27100,40500,33100,33100,33100,33100,33100,33100,27100,27100,1000,1000,33100,27100,27100,33100,40500,hayır,,,Geçerli,
bu akşam hangi maçlar var,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Navigasyonel,İzleme,Jenerik,Jenerik,Türkçe,Long-tail,yayin_hub,Ana Liste,18100,LOW,4,0.11,0.02,0.13,evet,22200,22200,18100,22200,22200,18100,18100,22200,22200,22200,18100,14800,6600,6600,12100,14800,12100,14800,12100,12100,14800,14800,12100,9900,9900,12100,9900,6600,6600,8100,8100,hayır,,,Geçerli,
bu akşam maç var mı,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Maç & Takvim,İzleme,Jenerik,Jenerik,Türkçe,Long-tail,yayin_hub,Ana Liste,14800,LOW,4,0.09,0.02,0.18,evet,18100,14800,14800,18100,18100,12100,12100,14800,14800,14800,12100,9900,5400,4400,8100,9900,8100,9900,9900,12100,14800,14800,14800,12100,22200,14800,8100,6600,6600,8100,8100,hayır,,,Geçerli,
yarın hangi maçlar var,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Navigasyonel,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,4400,LOW,7,0.12,0.03,0.18,evet,3600,5400,3600,5400,5400,4400,4400,4400,5400,4400,3600,2400,1000,1600,3600,4400,3600,4400,4400,4400,5400,4400,4400,3600,4400,4400,4400,2900,2900,3600,4400,hayır,,,Geçerli,
canlı maç yayın akışı,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,720,LOW,2,0.25,0.05,0.32,evet,720,590,720,1000,1000,720,590,480,590,590,720,720,480,390,320,390,390,390,480,390,390,480,390,480,320,480,480,480,480,480,590,hayır,,,Geçerli,
spor programı bugün,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Navigasyonel,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,70,LOW,4,,,,evet,90,50,50,110,110,110,70,70,70,70,70,70,50,50,40,50,20,20,70,70,50,40,40,50,40,50,70,50,40,50,50,hayır,,,Geçerli,
maç takvimi bugün,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,Maç & Takvim,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Ana Liste,3600,LOW,6,0.19,0.03,0.29,evet,1000,1900,2400,4400,3600,4400,3600,3600,6600,5400,6600,3600,1600,2400,5400,5400,5400,6600,5400,6600,8100,8100,4400,2900,1600,1600,2400,1000,1300,1000,1000,hayır,,,Geçerli,
galatasaray górnik zabrze nerede izlenir,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,Türkçe,Long-tail,nerede_izlenir,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
