keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,oyuncu_ana_ad,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
tom aspinall,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,tom aspinall,14800,LOW,1,,0.23,0.99,evet,9900,14800,9900,5400,6600,6600,6600,8100,12100,74000,12100,22200,22200,27100,12100,14800,33100,14800,18100,18100,40500,9900,5400,9900,14800,4400,3600,4400,3600,1600,2400
tom aspinall kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,tom aspinall,10,LOW,0,,,,evet,10,10,10,10,0,10,10,10,10,20,10,20,10,10,10,10,20,10,10,20,30,10,0,0,0,0,0,0,0,0,0
tom aspinall maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,tom aspinall,40,LOW,2,,,,evet,10,10,10,10,10,10,10,10,10,320,140,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tom aspinall istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,tom aspinall,10,LOW,0,,,,evet,10,30,20,10,10,10,10,10,10,30,10,30,70,50,20,20,90,40,50,70,210,30,0,0,0,0,0,0,0,0,0
alexander volkov,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,alexander volkov,1000,LOW,0,,,,evet,720,1000,1900,590,720,590,720,590,720,2400,480,880,1300,1000,720,720,880,1000,1300,2400,1600,1000,1000,1300,1300,1900,720,720,590,480,480
alexander volkov kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,alexander volkov,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexander volkov maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,alexander volkov,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexander volkov istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,alexander volkov,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergei pavlovich,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,sergei pavlovich,590,LOW,0,,,,evet,480,720,1300,590,480,390,480,390,390,720,320,1000,590,480,390,590,590,1000,720,480,720,390,320,480,480,1300,390,590,590,390,720
sergei pavlovich kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,sergei pavlovich,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
