keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,katman,oyuncu_ana_ad,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,kurum_sorgusu,mantik_denetim,faset_notu
georgios papagiannis,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,anadolu efes s.k.,Genişletme,georgios papagiannis,210,LOW,1,,,,evet,140,110,70,70,110,90,110,110,90,880,480,210,880,320,390,90,50,50,70,110,140,170,170,320,880,1600,2900,1300,1600,1000,2900,hayır,Geçerli,
georgios papagiannis kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,anadolu efes s.k.,Genişletme,georgios papagiannis,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
georgios papagiannis hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes s.k.,Genişletme,georgios papagiannis,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
georgios papagiannis istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,anadolu efes s.k.,Genişletme,georgios papagiannis,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
darius karutasu,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,anadolu efes s.k.,Genişletme,darius karutasu,1600,LOW,0,,,,evet,6600,6600,1000,320,260,260,320,40,70,70,210,720,210,30,50,10,20,20,70,140,70,20,0,0,0,0,0,0,0,0,0,hayır,Geçerli,
darius karutasu kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,anadolu efes s.k.,Genişletme,darius karutasu,140,LOW,0,,,,evet,880,480,30,10,10,0,20,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hayır,Geçerli,
darius karutasu hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes s.k.,Genişletme,darius karutasu,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
darius karutasu istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,anadolu efes s.k.,Genişletme,darius karutasu,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
fatts russell,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,anadolu efes s.k.,Genişletme,fatts russell,40,LOW,0,,,,evet,50,50,20,10,30,10,20,20,30,70,90,40,70,110,320,320,390,880,5400,70,70,110,110,50,40,170,40,40,90,40,110,hayır,Geçerli,
fatts russell kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,anadolu efes s.k.,Genişletme,fatts russell,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
fatts russell hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes s.k.,Genişletme,fatts russell,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
fatts russell istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,anadolu efes s.k.,Genişletme,fatts russell,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
ulas kiyak,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,arkas spor,Genişletme,ulas kiyak,40,LOW,0,,,,evet,70,30,30,30,30,30,70,40,20,50,50,30,40,20,10,50,40,40,30,140,170,40,20,50,170,20,70,90,70,40,110,hayır,Geçerli,
