keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu
süper lig,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,jen
süper lig puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,pd
süper lig fikstür,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik
süper lig maç sonuçları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac
süper lig canlı izle,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle
süper lig hangi kanalda,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,kan
trendyol süper lig,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,jen
trendyol süper lig puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,pd
trendyol süper lig fikstür,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik
trendyol süper lig maç sonuçları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,mac
trendyol süper lig canlı izle,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle
trendyol süper lig hangi kanalda,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,kan
1. lig,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen
1. lig puan durumu,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd
1. lig fikstür,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik
1. lig maç sonuçları,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac
1. lig canlı izle,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle
1. lig hangi kanalda,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan
trendyol 1. lig,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,jen
trendyol 1. lig puan durumu,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Long-tail,pd
trendyol 1. lig fikstür,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik
trendyol 1. lig maç sonuçları,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,mac
trendyol 1. lig canlı izle,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle
trendyol 1. lig hangi kanalda,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Long-tail,kan
2. lig,TFF 2. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen
2. lig puan durumu,TFF 2. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd
2. lig fikstür,TFF 2. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik
3. lig,TFF 3. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen
3. lig puan durumu,TFF 3. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd
3. lig fikstür,TFF 3. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik
türkiye kupası,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,jen
türkiye kupası puan durumu,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,pd
türkiye kupası fikstür,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik
türkiye kupası maç sonuçları,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac
türkiye kupası canlı izle,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle
türkiye kupası hangi kanalda,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,kan
ziraat türkiye kupası,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,jen
ziraat türkiye kupası puan durumu,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,pd
ziraat türkiye kupası fikstür,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik
ziraat türkiye kupası maç sonuçları,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,mac
ziraat türkiye kupası canlı izle,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle
ziraat türkiye kupası hangi kanalda,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,kan
süper kupa,Turkcell Süper Kupa,Futbol,Süper Kupa,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Tek Etkinlik,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,jen
süper kupa canlı izle,Turkcell Süper Kupa,Futbol,Süper Kupa,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Tek Etkinlik,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle
süper kupa hangi kanalda,Turkcell Süper Kupa,Futbol,Süper Kupa,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Tek Etkinlik,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,kan
