keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,katman
hangi maç hangi kanalda,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Kanal/Yayın,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Çekirdek
maç hangi kanalda,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Kanal/Yayın,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Çekirdek
bugün hangi maçlar var,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Çekirdek
bugün maç var mı,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Çekirdek
bugün kimin maçı var,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Çekirdek
günün maçları,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Head,yayin_hub,Çekirdek
bugünkü maçlar,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Head,yayin_hub,Çekirdek
maç programı bugün,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Çekirdek
tv'de bugün,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Head,yayin_hub,Çekirdek
tvde bugün maçlar,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Çekirdek
spor yayın akışı,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Çekirdek
bugün hangi maçlar var saat kaçta,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Long-tail,yayin_hub,Çekirdek
hafta sonu maç programı,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Body,yayin_hub,Çekirdek
haftanın maçları,Yayın Rehberi,Çoklu/Jenerik,Jenerik,Yok,Global Elit,Karma,Jenerik,Jenerik,Türkiye,Yerli,Yok,TV+ Var,Sürekli,Sürekli Lig,Takvim/Saat,İzleme,Jenerik,Jenerik,Türkçe,Head,yayin_hub,Çekirdek
